Tanggal,Kegiatan,Pemateri,Paparan,File
13 November 2019,International Conference Transportation Research And Innovation 2019,Prof. Fujiwara Akimasa,Social Acceptance Of Self-Driving Technology,https://balitbanghub.dephub.go.id/file/116
13 November 2019,International Conference Transportation Research And Innovation 2019,Minister of Research,"Research And Innovation To Achieve Intelligent, Integrated, And Sustainable Transportation",https://balitbanghub.dephub.go.id/file/112
13 November 2019,International Conference Transportation Research And Innovation 2019,"Prof. Dr. Ir. Agus Taufik Mulyono, ST., MT., IPU., ASEAN Eng.",Perspective On Future Transportation Research In Indonesia,https://balitbanghub.dephub.go.id/file/117
13 November 2019,International Conference Transportation Research And Innovation 2019,Coordinating Ministry for Maritime Affairs and Investment,National Transportation Research To Improve Transportation Quality,https://balitbanghub.dephub.go.id/file/115
13 November 2019,International Conference Transportation Research And Innovation 2019,Minister of Transportation,Keynote Speech Minister of Transportation Republic of Indonesia,https://balitbanghub.dephub.go.id/file/111
13 November 2019,International Conference Transportation Research And Innovation 2019,"Ir. Linus Andor Mulana Sijabat, IPM, FIRSE.",Intelligent Maintenance For Railway Systems,https://balitbanghub.dephub.go.id/file/120
13 November 2019,International Conference Transportation Research And Innovation 2019,The Korea Transport Institute,Industry 4.0 For Intelligent And Smart Transportation,https://balitbanghub.dephub.go.id/file/119
13 November 2019,International Conference Transportation Research And Innovation 2019,Muhammad Dimyati,Future Technology: A Solution To Solve Traffic Jump,https://balitbanghub.dephub.go.id/file/114
13 November 2019,International Conference Transportation Research And Innovation 2019,Leonard VH Tampubolon,Financing For Sustainable Public Transportation,https://balitbanghub.dephub.go.id/file/118
11 November 2019,FGD Puslitbang Transportasi Jalan dan Perkeretaapian Kebijakan Pembangunan Infrastruktur di Kawasan Perbatasan (Kabupaten Mahakam Ulu Provinsi Kalimantan Timur),Kepala Badan Perencanaan Pembangunan Daerah (Bappeda) Kabupaten Mahakam Ulu,Rencana Pembangunan Infrastruktur di Kabupaten Mahakam Ulu,https://balitbanghub.dephub.go.id/file/245
10 November 2019,FGD Puslitbang Transportasi Jalan dan Perkeretaapian Kebijakan Pembangunan Infrastruktur di Kawasan Perbatasan (Kabupaten Mahakam Ulu Provinsi Kalimantan Timur),Kepala Dinas Pekerjaan Umum Kabupaten Mahakam Ulu,Rencana Pembangunan Jaringan Jalan di Kabupaten Mahakam Ulu,https://balitbanghub.dephub.go.id/file/247
21 Oktober 2019,Focus Group Discussion Puslitbang Transportasi Antarmoda,"Dr. Hengky Purwoto, SE., MA.",Pemetaan Dan Agenda Riset Transportasi Nasional,https://balitbanghub.dephub.go.id/file/122
21 Oktober 2019,Focus Group Discussion Puslitbang Transportasi Antarmoda,"Dr. Ir. Idwan Santoso, MSc, DIC",Forum Riset Dan inovasi Transportasi Nasional,https://balitbanghub.dephub.go.id/file/121
17 Oktober 2019,Focus Group Discussion Sekretariat Badan Litbang Perhubungan,Dr. Hengky Purwoto,Rencana Induk Penelitian Transportasi 2020-2024,https://balitbanghub.dephub.go.id/file/123
17 Oktober 2019,Focus Group Discussion Puslitbang Transportasi Jalan dan Perkeretaapian,Peneliti Puslitbang Transportasi Jalan dan Perkeretaapian,Reformasi Kebijakan Penanganan Perlintasan Sebidang Di Indonesia,https://balitbanghub.dephub.go.id/file/130
17 Oktober 2019,Focus Group Discussion Puslitbang Transportasi Jalan dan Perkeretaapian,Direktorat Keselamatan Perkeretaapian,Peningkatan Keselamatan Di Perlintasan Sebidang Kereta Api,https://balitbanghub.dephub.go.id/file/125
17 Oktober 2019,Focus Group Discussion Puslitbang Transportasi Jalan dan Perkeretaapian,Kepala Dinas Perhubungan Kabupaten Kebumen,Penanganan Perlintasan Kereta Api Tanpa Palang Pintu Di Kabupaten Kebumen,https://balitbanghub.dephub.go.id/file/129
17 Oktober 2019,Focus Group Discussion Puslitbang Transportasi Jalan dan Perkeretaapian,Direktur Jenderal Perhubungan Darat Kementerian Perhubungan,Kebijakan Pembinaan Lalu Lintas Jalan Di Perlintasan Sebidang,https://balitbanghub.dephub.go.id/file/126
17 Oktober 2019,Focus Group Discussion Puslitbang Transportasi Jalan dan Perkeretaapian,Deputi Bidang Teknologi Industri Rancang Bangun dan Rekayasa – BPPT,Inovasi Teknologi Smart Level Crossing (SLC),https://balitbanghub.dephub.go.id/file/128
17 Oktober 2019,Focus Group Discussion Sekretariat Badan Litbang Perhubungan,"Dr. Dipl-Ing Mulyadi Sinung Harjono, MT.",Flagship Penelitian Nasional Bidang Transportasi,https://balitbanghub.dephub.go.id/file/124
17 Oktober 2019,Focus Group Discussion Puslitbang Transportasi Jalan dan Perkeretaapian,Kepala Sub Direktorat Perhubungan,Dukungan Dan Peran Serta Pemerintah Daerah Dalam Pengelolaan Perlintasan Sebidang,https://balitbanghub.dephub.go.id/file/127
26 September 2019,Focus Group Discussion Puslitbang Transportasi Darat,Ketua Komite Nasional Keselamatan Transportasi (KNKT),Tinjauan Sederhana Kecelakaan Cipularang Dan Cipali,https://balitbanghub.dephub.go.id/file/134
26 September 2019,Focus Group Discussion Puslitbang Transportasi Darat,Kepala Korps Lalulintas POLRI,Pengawasan Dan Penegakan hukum Guna Meningkatkan Keselamatan Lalu Lintas,https://balitbanghub.dephub.go.id/file/133
26 September 2019,Focus Group Discussion Puslitbang Transportasi Darat,Kepala Badan Pengatur Jalan Tol Kementerian PUPR,Kecelakaan Lalu Lintas Jalan Tol,https://balitbanghub.dephub.go.id/file/132
26 September 2019,Focus Group Discussion Puslitbang Transportasi Darat,Direktur Jenderal Perhubungan Darat Kementerian Perhubungan,Kebijakan Peningkatan Keselamatan Di Ruas Jalan Tol,https://balitbanghub.dephub.go.id/file/131
26 September 2019,Focus Group Discussion Puslitbang Transportasi Darat,Drs. I Ketut Mudana,Karakteristik Penyebab Kecelakaan Di Ruas Jalan Tol Cipali,https://balitbanghub.dephub.go.id/file/135
26 September 2019,Focus Group Discussion Puslitbang Transportasi Darat,"Ir. Mutharuddin, M.Si., M.Mtr.",Analisa Kecelakaan Di Ruas Tol Cipularang KM 91,https://balitbanghub.dephub.go.id/file/136
25 September 2019,Focus Group Discussion Puslitbang Transportasi Udara,Pusat Penelitan dan Pengembangan Transportasi Udara,Peran Penelitian Dan Pengembangan Dalam Peningkatan Aspek Keselamatan Penerbangan,https://balitbanghub.dephub.go.id/file/137
25 September 2019,Focus Group Discussion Puslitbang Transportasi Udara,M. Ridlo Akbar,Pengembangan Dan Pemanfaatan Peralatan Produksi Dalam Negeri Untuk Menunjang Keselamatan Penerbangan,https://balitbanghub.dephub.go.id/file/141
25 September 2019,Focus Group Discussion Puslitbang Transportasi Udara,"Direktur Jenderal Industri Logam, Mesin, Alat Transportasi, dan Elektronika KEMENPERIN",Kebjakan Penelitian Dan Riset Teknologi Nasional Dalam Sektor Transportasi Udara,https://balitbanghub.dephub.go.id/file/139
25 September 2019,Focus Group Discussion Puslitbang Transportasi Udara,Direktur Jenderal Penguatan Riset dan Pengembangan KEMENRISTEKDIKTI,Kebijakan Untuk Mendorong Pengembangan Dan Pemanfaatan Produksi Dalam Negeri,https://balitbanghub.dephub.go.id/file/138
25 September 2019,Focus Group Discussion Puslitbang Transportasi Udara,"Dr. Ir. Adhi Dharma Permana, M.Sc.",Dukungan BPPT Pada Inovasi Teknologi Bidang Kedirgantaraan,https://balitbanghub.dephub.go.id/file/140
04 September 2019,Focus Group Discussion Puslitbang Transportasi Antarmoda,Kepala Badan Pengkajian dan Penerapan Teknologi (BPPT),Pengembangan Teknologi Transportasi Berkelanjutan,https://balitbanghub.dephub.go.id/file/145
04 September 2019,Focus Group Discussion Puslitbang Transportasi Antarmoda,"Dr. Eng. Ir. Muhammad Isran Ramli, ST., MT., ATU.",Pemetaan Penelitian Transportasi Di Perguruan Tinggi,https://balitbanghub.dephub.go.id/file/143
04 September 2019,Focus Group Discussion Puslitbang Transportasi Antarmoda,"Dr. Ir. Dewanti, MS",Pemetaan dan Agenda Riset Transportasi Nasional,https://balitbanghub.dephub.go.id/file/2
04 September 2019,Focus Group Discussion Puslitbang Transportasi Antarmoda,"Ir. Sugihardjo, M. Si.",Pemetaan Dan Agenda Riset Transportasi Nasional,https://balitbanghub.dephub.go.id/file/142
21 Agustus 2019,Focus Group Discussion Puslitbang Transportasi Jalan dan Perkeretaapian,PT. Bluebird Taxi Tbk,Lesson Learn Pengoperasian Armada Taksi Listrik,https://balitbanghub.dephub.go.id/file/150
21 Agustus 2019,Focus Group Discussion Puslitbang Transportasi Jalan dan Perkeretaapian,"Direktur Pusat Teknologi Industri, Deputi Bidang Pengkajian Kebijakan Teknologi BPPT",Kesiapan Implementasi Mobil Listrik Sebagai Sarana Angkutan Umum Di Indonesia,https://balitbanghub.dephub.go.id/file/148
