No.overall,No. inseason,Season,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions)
35,6,3,Bitter Harvest,Dean White,Kira Snyder,"February 25, 2016 (2016-02-25)",3J5756,1.41
36,7,3,Thirteen,Dean White,Javier Grillo-Marxuach,"March 3, 2016 (2016-03-03)",3J5757,1.39
37,8,3,Terms and Conditions,John Showalter,Charlie Craig,"March 10, 2016 (2016-03-10)",3J5758,1.20
38,9,3,Stealing Fire,Uta Briesewitz,Heidi Cole McAdams,"March 31, 2016 (2016-03-31)",3J5759,1.23
39,10,3,Fallen,Matt Barber,Charmaine DeGrate & Javier Grillo-Marxuach,"April 7, 2016 (2016-04-07)",3J5760,1.13
40,11,3,Nevermore,Ed Fraiman,Kim Shumway,"April 14, 2016 (2016-04-14)",3J5761,1.08
41,12,3,Demons,P. J. Pesce,Justine Juel Gillmer,"April 21, 2016 (2016-04-21)",3J5762,1.15
42,13,3,Join or Die,Dean White,Julie Benson & Shawna Benson,"April 28, 2016 (2016-04-28)",3J5763,1.27
43,14,3,Red Sky at Morning,P. J. Pesce,Lauren Muir & Kira Snyder,"May 5, 2016 (2016-05-05)",3J5764,1.13
44,15,3,Perverse Instantiation – Part One,Ed Fraiman,Aaron Ginsburg & Wade McIntyre,"May 12, 2016 (2016-05-12)",3J5765,1.17
45,16,3,Perverse Instantiation – Part Two,Dean White,Jason Rothenberg,"May 19, 2016 (2016-05-19)",3J5766,1.29
46,1,4,Echoes,Dean White,Jason Rothenberg,"February 1, 2017 (2017-02-01)",T27.13251,1.21
47,2,4,Heavy Lies the Crown,Ed Fraiman,Justine Juel Gillmer,"February 8, 2017 (2017-02-08)",T27.13252,1.01
48,3,4,The Four Horsemen,P. J. Pesce,Heidi Cole McAdams,"February 15, 2017 (2017-02-15)",T27.13253,1.05
49,4,4,A Lie Guarded,Ian Samoil,Kim Shumway,"February 22, 2017 (2017-02-22)",T27.13254,1.00
50,5,4,The Tinder Box,John F. Showalter,Morgan Gendel,"March 1, 2017 (2017-03-01)",T27.13255,1.02
51,6,4,We Will Rise,Dean White,Charmaine DeGrate,"March 15, 2017 (2017-03-15)",T27.13256,0.98
52,7,4,Gimme Shelter,Tim Scanlan,Terri Hughes Burton & Ron Milbauer,"March 22, 2017 (2017-03-22)",T27.13257,0.90
53,8,4,God Complex,Omar Madha,Lauren Muir,"March 29, 2017 (2017-03-29)",T27.13258,0.97
54,9,4,DNR,Mairzee Almas,Miranda Kwok,"April 26, 2017 (2017-04-26)",T27.13260,0.81
55,10,4,"Die All, Die Merrily",Dean White,Aaron Ginsburg & Wade McIntyre,"May 3, 2017 (2017-05-03)",T27.13259,0.85
56,11,4,The Other Side,Henry Ian Cusick,Julie Benson & Shawna Benson,"May 10, 2017 (2017-05-10)",T27.13261,0.86
57,12,4,The Chosen,Alex Kalymnios,Aaron Ginsburg & Wade McIntyre,"May 17, 2017 (2017-05-17)",T27.13262,0.83
58,13,4,Praimfaya,Dean White,Jason Rothenberg,"May 24, 2017 (2017-05-24)",T27.13263,0.91
59,1,5,Eden,Dean White,Jason Rothenberg,"April 24, 2018 (2018-04-24)",T27.13551,1.43
60,2,5,Red Queen,P. J. Pesce,Terri Hughes Burton,"May 1, 2018 (2018-05-01)",T27.13552,1.02
61,3,5,Sleeping Giants,Tim Scanlan,Aaron Ginsburg & Wade McIntyre,"May 8, 2018 (2018-05-08)",T27.13553,1.08
62,4,5,Pandora's Box,Dean White,Charmaine DeGrate,"May 15, 2018 (2018-05-15)",T27.13554,1.07
63,5,5,Shifting Sands,Omar Madha,Nick Bragg,"May 22, 2018 (2018-05-22)",T27.13555,0.94
64,6,5,Exit Wounds,Michael Blundell,Drew Lindo,"June 5, 2018 (2018-06-05)",T27.13556,0.92
65,7,5,Acceptable Losses,Mairzee Almas,Jeff Vlaming,"June 19, 2018 (2018-06-19)",T27.13557,0.83
66,8,5,How We Get to Peace,Antonio Negret,Lauren Muir,"June 26, 2018 (2018-06-26)",T27.13558,0.73
67,9,5,Sic Semper Tyrannis,Ian Samoil,Miranda Kwok,"July 10, 2018 (2018-07-10)",T27.13559,0.89
68,10,5,The Warriors Will,Henry Ian Cusick,Julie Benson & Shawna Benson,"July 17, 2018 (2018-07-17)",T27.13560,0.86
69,11,5,The Dark Year,Alex Kalymnios,Heidi Cole McAdams,"July 24, 2018 (2018-07-24)",T27.13561,0.85
70,12,5,Damocles – Part One,Dean White,Justine Juel Gillmer,"July 31, 2018 (2018-07-31)",T27.13562,0.88
71,13,5,Damocles – Part Two,Dean White,Jason Rothenberg,"August 7, 2018 (2018-08-07)",T27.13563,0.99
72,1,6,Sanctum,Ed Fraiman,Jason Rothenberg,"April 30, 2019 (2019-04-30)",T27.13801,0.86
73,2,6,Red Sun Rising,Alex Kalymnios,Jeff Vlaming,"May 7, 2019 (2019-05-07)",T27.13802,0.81
74,3,6,The Children of Gabriel,Dean White,Drew Lindo,"May 14, 2019 (2019-05-14)",T27.13803,0.82
75,4,6,The Face Behind the Glass,Tim Scanlan,Charmaine DeGraté,"May 21, 2019 (2019-05-21)",T27.13804,0.73
76,5,6,The Gospel of Josephine,Ian Samoil,Georgia Lee,"May 28, 2019 (2019-05-28)",T27.13805,0.73
77,6,6,Memento Mori,P.J. Pesce,Alyssa Clark,"June 11, 2019 (2019-06-11)",T27.13806,0.64
78,7,6,Nevermind,Michael Blundell,Kim Shumway,"June 18, 2019 (2019-06-18)",T27.13807,0.72
79,8,6,The Old Man and the Anomaly,April Mullen,Miranda Kwok,"June 25, 2019 (2019-06-25)",T27.13808,0.63
80,9,6,What You Take With You,Marshall Virtue,Nikki Goldwaser,"July 9, 2019 (2019-07-09)",T27.13809,0.70
81,10,6,Matryoshka,Amanda Tapping,Drew Lindo,"July 16, 2019 (2019-07-16)",T27.13810,0.57
82,11,6,Ashes to Ashes,Bob Morley,Charmaine DeGraté,"July 23, 2019 (2019-07-23)",T27.13811,0.54
83,12,6,Adjustment Protocol,Antonio Negret,Kim Shumway,"July 30, 2019 (2019-07-30)",T27.13812,0.61
84,13,6,The Blood of Sanctum,Ed Fraiman,Jason Rothenberg,"August 6, 2019 (2019-08-06)",T27.13813,0.59
85,1,7,From the Ashes,Ed Fraiman,Jason Rothenberg,"May 20, 2020 (2020-05-20)",T27.14051,0.80
86,2,7,The Garden,Dean White,Jeff Vlaming,"May 27, 2020 (2020-05-27)",T27.14053,0.76
87,3,7,False Gods,Tim Scanlan,Kim Shumway,"June 3, 2020 (2020-06-03)",T27.14052,0.71
88,4,7,Hesperides,Diana Valentine,Sean Crouch,"June 10, 2020 (2020-06-10)",T27.14054,0.63
89,5,7,Welcome to Bardo,Ian Samoil,Drew Lindo,"June 17, 2020 (2020-06-17)",T27.14055,0.68
90,6,7,Nakara,PJ Pesce,Erica Meredith,"June 24, 2020 (2020-06-24)",T27.14056,0.57
91,7,7,The Queen's Gambit,Lindsey Morgan,Miranda Kwok,"July 1, 2020 (2020-07-01)",T27.14057,0.64
92,8,7,Anaconda,Ed Fraiman,Jason Rothenberg,"July 8, 2020 (2020-07-08)",T27.14063,0.67
93,9,7,The Flock,Amyn Kaderali,Alyssa Clark,"July 15, 2020 (2020-07-15)",T27.14058,0.61
94,10,7,A Little Sacrifice,Sherwin Shilati,Nikki Goldwaser,"August 5, 2020 (2020-08-05)",T27.14059,0.47
95,11,7,Etherea,Aprill Winney,Jeff Vlaming,"August 12, 2020 (2020-08-12)",T27.14060,0.58
96,12,7,The Stranger,Amanda Row,Blythe Ann Johnson,"August 19, 2020 (2020-08-19)",T27.14062,0.54
97,13,7,Blood Giant,Michael Cliett,Ross Knight,"September 9, 2020 (2020-09-09)",T27.14061,0.59
98,14,7,A Sort of Homecoming,Jessica Harmon,Sean Crouch,"September 16, 2020 (2020-09-16)",T27.14065,0.63
99,15,7,The Dying of the Light,Ian Samoil,Kim Shumway,"September 23, 2020 (2020-09-23)",T27.14064,0.52
100,16,7,The Last War,Jason Rothenberg,Jason Rothenberg,"September 30, 2020 (2020-09-30)",T27.14066,0.61
