No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),Original air date [96]
91,7,"""The Queen's Gambit""",Lindsey Morgan,Miranda Kwok,,T27.14057,0.64[103],"July 1, 2020 (2020-07-01)"
92,8,"""Anaconda""",Ed Fraiman,Jason Rothenberg,,T27.14063,0.67[104],"July 8, 2020 (2020-07-08)"
93,9,"""The Flock""",Amyn Kaderali,Alyssa Clark,,T27.14058,0.61[105],"July 15, 2020 (2020-07-15)"
94,10,"""A Little Sacrifice""",Sherwin Shilati,Nikki Goldwaser,,T27.14059,0.47[106],"August 5, 2020 (2020-08-05)"
95,11,"""Etherea""",Aprill Winney,Jeff Vlaming,,T27.14060,0.58[107],"August 12, 2020 (2020-08-12)"
96,12,"""The Stranger""",Amanda Row,Blythe Ann Johnson,,T27.14062,0.54[108],"August 19, 2020 (2020-08-19)"
97,13,"""Blood Giant""",Michael Cliett,Ross Knight,,T27.14061,0.59[109],"September 9, 2020 (2020-09-09)"
98,14,"""A Sort of Homecoming""",Jessica Harmon,Sean Crouch,,T27.14065,0.63[110],"September 16, 2020 (2020-09-16)"
99,15,"""The Dying of the Light""",Ian Samoil,Kim Shumway,,T27.14064,0.52[111],"September 23, 2020 (2020-09-23)"
100,16,"""The Last War""",Jason Rothenberg,Jason Rothenberg,,T27.14066,0.61[112],"September 30, 2020 (2020-09-30)"
